Title,URLHandle,Description,Vendor,Type,Tags,SKU,Size,Price,CompareAtPrice,WeightG,ImageURL
Nike Air Max 90,nike-air-max-90,OG running roots with Waffle sole and Max Air cushioning.,Nike,Lifestyle Sneakers,Nike Air-Max Lifestyle Casual Sneakers,NIKEAIRM0,UK 6,10995,12644,920,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1200&q=80
,nike-air-max-90,,Nike,,,NIKEAIRM1,UK 7,10995,12644,920,
,nike-air-max-90,,Nike,,,NIKEAIRM2,UK 8,10995,12644,920,
,nike-air-max-90,,Nike,,,NIKEAIRM3,UK 9,10995,12644,920,
,nike-air-max-90,,Nike,,,NIKEAIRM4,UK 10,10995,12644,920,
Nike Air Max 270,nike-air-max-270,Tallest-ever Air unit for all-day comfort with breathable mesh.,Nike,Lifestyle Sneakers,Nike Air-Max Lifestyle Premium,NIKEAIRM0,UK 6,13995,16094,870,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=1200&q=80
,nike-air-max-270,,Nike,,,NIKEAIRM1,UK 7,13995,16094,870,
,nike-air-max-270,,Nike,,,NIKEAIRM2,UK 8,13995,16094,870,
,nike-air-max-270,,Nike,,,NIKEAIRM3,UK 9,13995,16094,870,
,nike-air-max-270,,Nike,,,NIKEAIRM4,UK 10,13995,16094,870,
Nike Air Max 97,nike-air-max-97,Japanese bullet train inspired full-length Max Air cushioning.,Nike,Lifestyle Sneakers,Nike Air-Max Lifestyle Reflective Premium,NIKEAIRM0,UK 6,16995,19544,950,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=1200&q=80
,nike-air-max-97,,Nike,,,NIKEAIRM1,UK 7,16995,19544,950,
,nike-air-max-97,,Nike,,,NIKEAIRM2,UK 8,16995,19544,950,
,nike-air-max-97,,Nike,,,NIKEAIRM3,UK 9,16995,19544,950,
,nike-air-max-97,,Nike,,,NIKEAIRM4,UK 10,16995,19544,950,
Nike Air Max Plus,nike-air-max-plus,Tuned Air cushioning with wavy upper for street style.,Nike,Lifestyle Sneakers,Nike Air-Max Lifestyle Streetwear,NIKEAIRM0,UK 6,16995,19544,935,https://images.unsplash.com/photo-1605408499391-6368c628ef42?w=1200&q=80
,nike-air-max-plus,,Nike,,,NIKEAIRM1,UK 7,16995,19544,935,
,nike-air-max-plus,,Nike,,,NIKEAIRM2,UK 8,16995,19544,935,
,nike-air-max-plus,,Nike,,,NIKEAIRM3,UK 9,16995,19544,935,
,nike-air-max-plus,,Nike,,,NIKEAIRM4,UK 10,16995,19544,935,
